"id","launch_service_id","static_fire_date_utc","static_fire_date_unix","net","window","rocket","success","details","launchpad","flight_number","name","date_utc","date_unix","date_local","date_precision","upcoming","auto_update","tbd","launch_library_id"
188,"62f3b5330f55c50e192a4e6e",NULL,NULL,False,NULL,"5e9d0d95eda69973a809d1ec",True,NULL,"5e9e4501f509094ba4566f84",183,"Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM","2022-09-05 00:00:00",1662343740,"2022-09-04 00:00:00","hour",False,True,False,NULL
182,"62a9f89a20413d2695d8871a",NULL,NULL,False,NULL,"5e9d0d95eda69973a809d1ec",True,NULL,"5e9e4502f509094188566f88",184,"Starlink 4-2 (v1.5) & Blue Walker 3","2022-09-11 00:00:00",1662858600,"2022-09-10 00:00:00","hour",False,True,False,"992823ad-f843-4a4a-beca-882b8ce8773a"
190,"63161329ffc78f3b8567070b",NULL,NULL,False,NULL,"5e9d0d95eda69973a809d1ec",True,NULL,"5e9e4501f509094ba4566f84",185,"Starlink 4-34 (v1.5)","2022-09-17 00:00:00",1663376700,"2022-09-16 00:00:00","hour",False,True,False,"9ba04064-c329-40bf-b477-ff468d7d8058"
191,"63161339ffc78f3b8567070c",NULL,NULL,False,NULL,"5e9d0d95eda69973a809d1ec",True,NULL,"5e9e4501f509094ba4566f84",186,"Starlink 4-35 (v1.5)","2022-09-24 00:00:00",1664062200,"2022-09-24 00:00:00","hour",False,True,False,"1c903b65-6667-4fd5-944d-296c5f13e01f"
